"2016-10-11 16:54:29,089 [main] DEBUG ajsc.restlet.ProcessRestletHeaders - headerName: name value: value
""2016-10-11 16:54:29,090 [main] DEBUG ajsc.restlet.ProcessRestletHeaders - headerName: key value: value1
""2016-10-11 16:54:29,090 [main] DEBUG ajsc.restlet.ProcessRestletHeaders - headerName: key2 value: value2
""2016-10-11 16:54:39,629 [main] DEBUG ajsc.filters.InterceptorFilter - *** Pre-Process Interceptors being applied ***
""2016-10-11 16:54:39,638 [main] DEBUG ajsc.filters.InterceptorFilter - *** Post-Process Interceptors being applied ***
""2016-10-11 16:54:39,648 [main] DEBUG ajsc.filters.InterceptorFilter - *** Pre-Process Interceptors being applied ***
""2016-10-11 16:54:39,649 [main] DEBUG ajsc.filters.InterceptorFilter - *** Post-Process Interceptors being applied ***
""2016-10-11 16:54:39,654 [main] DEBUG ajsc.filters.InterceptorFilter - *** Pre-Process Interceptors being applied ***
""2016-10-11 16:54:39,655 [main] DEBUG ajsc.filters.InterceptorFilter - *** Post-Process Interceptors being applied ***
""2016-10-11 16:54:39,659 [main] DEBUG ajsc.filters.InterceptorFilter - *** Pre-Process Interceptors being applied ***
""2016-10-11 16:54:39,661 [main] DEBUG ajsc.filters.InterceptorFilter - *** Post-Process Interceptors being applied ***
""2016-10-11 16:54:39,662 [main] DEBUG ajsc.filters.InterceptorFilter - *** Pre-Process Interceptors being applied ***
""2016-10-11 16:54:39,890 [main] DEBUG ajsc.filters.InterceptorFilter - *** Pre-Process Interceptors being applied ***
""2016-10-11 16:54:39,891 [main] DEBUG ajsc.filters.InterceptorFilter - *** Post-Process Interceptors being applied ***
"
